年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2014,苗栗縣,農林漁牧業,家數,家,188, 
2014,彰化縣,農林漁牧業,家數,家,602, 
2014,南投縣,農林漁牧業,家數,家,398, 
2014,雲林縣,農林漁牧業,家數,家,306, 
2014,嘉義市,農林漁牧業,家數,家,50,0
2014,嘉義縣,農林漁牧業,家數,家,265, 
2014,屏東縣,農林漁牧業,家數,家,667,10
2014,澎湖縣,農林漁牧業,家數,家,25,0
2014,花蓮縣,農林漁牧業,家數,家,216,0
2014,臺東縣,農林漁牧業,家數,家,240,0
2014,金門縣,農林漁牧業,家數,家,33,0
2014,連江縣,農林漁牧業,家數,家,,0
2014,總計,礦業及土石採取業,家數,家,70,26
2014,臺北市,礦業及土石採取業,家數,家,18,10
2014,新北市,礦業及土石採取業,家數,家,, 
2014,桃園縣,礦業及土石採取業,家數,家,, 
2014,臺中市,礦業及土石採取業,家數,家,, 
2014,臺南市,礦業及土石採取業,家數,家,,0
2014,高雄市,礦業及土石採取業,家數,家,12, 
2014,基隆市,礦業及土石採取業,家數,家,0,0
2014,宜蘭縣,礦業及土石採取業,家數,家,0,0
2014,新竹市,礦業及土石採取業,家數,家,,0
2014,新竹縣,礦業及土石採取業,家數,家,, 
2014,苗栗縣,礦業及土石採取業,家數,家,, 
2014,彰化縣,礦業及土石採取業,家數,家,,0
2014,南投縣,礦業及土石採取業,家數,家,,0
2014,雲林縣,礦業及土石採取業,家數,家,,0
2014,嘉義市,礦業及土石採取業,家數,家,0,0
2014,嘉義縣,礦業及土石採取業,家數,家,,0
2014,屏東縣,礦業及土石採取業,家數,家,10,0
2014,澎湖縣,礦業及土石採取業,家數,家,0,0
2014,花蓮縣,礦業及土石採取業,家數,家,0, 
2014,臺東縣,礦業及土石採取業,家數,家,0,0
2014,金門縣,礦業及土石採取業,家數,家,0,0
2014,連江縣,礦業及土石採取業,家數,家,0,0
2014,總計,製造業,家數,家,141817,5587
2014,臺北市,製造業,家數,家,7129,876
2014,新北市,製造業,家數,家,33516,997
2014,桃園縣,製造業,家數,家,11651,812
2014,臺中市,製造業,家數,家,29831,665
2014,臺南市,製造業,家數,家,12602,469
2014,高雄市,製造業,家數,家,9524,471
