年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2023,機械設備製造業,出口額,百萬元,353206,145578,207627
2023,汽車及其零件製造業,出口額,百萬元,126841,17594,109247
2023,其他運輸工具及其零件製造業,出口額,百萬元,210402,83178,127224
2023,家具製造業,出口額,百萬元,26757,15928,10829
2023,其他製造業,出口額,百萬元,115069,28087,86982
2023,產業用機械設備維修及安裝業,出口額,百萬元,45386,23471,21915
2024,總計,出口額,百萬元,10194317,1181049,9013268
2024,食品及飼品製造業,出口額,百萬元,53811,16592,37219
2024,飲料製造業,出口額,百萬元,2959,351,2608
2024,紡織業,出口額,百萬元,157995,15193,142801
2024,成衣及服飾品製造業,出口額,百萬元,11501,6761,4740
2024,皮革、毛皮及其製品製造業,出口額,百萬元,24569,6967,17602
2024,木竹製品製造業,出口額,百萬元,3081,2108,973
2024,紙漿、紙及紙製品製造業,出口額,百萬元,31469,5833,25636
2024,印刷及資料儲存媒體複製業,出口額,百萬元,75093,3844,71249
2024,石油及煤製品製造業,出口額,百萬元,379063,8083,370980
2024,化學材料及肥料製造業,出口額,百萬元,435314,33788,401525
2024,其他化學製品製造業,出口額,百萬元,102278,32294,69984
2024,藥品及醫用化學製品製造業,出口額,百萬元,23321,2650,20671
2024,橡膠製品製造業,出口額,百萬元,86627,16454,70173
2024,塑膠製品製造業,出口額,百萬元,131460,50448,81012
2024,非金屬礦物製品製造業,出口額,百萬元,52732,15807,36924
2024,基本金屬製造業,出口額,百萬元,386677,28930,357747
2024,金屬製品製造業,出口額,百萬元,392816,138802,254015
2024,電子零組件製造業,出口額,百萬元,5088122,350268,4737853
2024,電腦、電子產品及光學製品製造業,出口額,百萬元,1676995,110361,1566634
2024,電力設備及配備製造業,出口額,百萬元,225712,31025,194686
2024,機械設備製造業,出口額,百萬元,375804,152483,223321
2024,汽車及其零件製造業,出口額,百萬元,130950,18483,112467
2024,其他運輸工具及其零件製造業,出口額,百萬元,158781,63382,95399
2024,家具製造業,出口額,百萬元,27917,16908,11009
2024,其他製造業,出口額,百萬元,113854,29783,84070
2024,產業用機械設備維修及安裝業,出口額,百萬元,45419,23451,21968
