年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2023,其他化學製品製造業,內銷額,百萬元,207545,70570,136975
2023,藥品及醫用化學製品製造業,內銷額,百萬元,124893,16925,107967
2023,橡膠製品製造業,內銷額,百萬元,75685,34229,41455
2023,塑膠製品製造業,內銷額,百萬元,289542,205943,83599
2023,非金屬礦物製品製造業,內銷額,百萬元,358082,208970,149112
2023,基本金屬製造業,內銷額,百萬元,969074,217675,751399
2023,金屬製品製造業,內銷額,百萬元,1000640,743491,257149
2023,電子零組件製造業,內銷額,百萬元,896893,192200,704693
2023,電腦、電子產品及光學製品製造業,內銷額,百萬元,375150,67752,307398
2023,電力設備及配備製造業,內銷額,百萬元,626671,279969,346702
2023,機械設備製造業,內銷額,百萬元,529736,335345,194391
2023,汽車及其零件製造業,內銷額,百萬元,593864,57753,536111
2023,其他運輸工具及其零件製造業,內銷額,百萬元,157952,57197,100755
2023,家具製造業,內銷額,百萬元,54604,38440,16163
2023,其他製造業,內銷額,百萬元,152628,109219,43410
2023,產業用機械設備維修及安裝業,內銷額,百萬元,221162,153942,67220
2024,總計,內銷額,百萬元,9489473,4089560,5399913
2024,食品及飼品製造業,內銷額,百萬元,771859,326836,445022
2024,飲料製造業,內銷額,百萬元,65788,38514,27274
2024,紡織業,內銷額,百萬元,243450,82074,161376
2024,成衣及服飾品製造業,內銷額,百萬元,38438,29737,8701
2024,皮革、毛皮及其製品製造業,內銷額,百萬元,22921,10928,11993
2024,木竹製品製造業,內銷額,百萬元,54310,42560,11749
2024,紙漿、紙及紙製品製造業,內銷額,百萬元,174002,111197,62804
2024,印刷及資料儲存媒體複製業,內銷額,百萬元,114146,79483,34663
2024,石油及煤製品製造業,內銷額,百萬元,551144,168704,382440
2024,化學材料及肥料製造業,內銷額,百萬元,698522,379455,319067
2024,其他化學製品製造業,內銷額,百萬元,216055,74468,141587
2024,藥品及醫用化學製品製造業,內銷額,百萬元,123377,16378,106998
2024,橡膠製品製造業,內銷額,百萬元,76416,35210,41205
2024,塑膠製品製造業,內銷額,百萬元,301354,214592,86762
2024,非金屬礦物製品製造業,內銷額,百萬元,374960,215503,159457
2024,基本金屬製造業,內銷額,百萬元,966618,215515,751103
2024,金屬製品製造業,內銷額,百萬元,1034089,765658,268431
2024,電子零組件製造業,內銷額,百萬元,975872,189110,786763
2024,電腦、電子產品及光學製品製造業,內銷額,百萬元,506490,71700,434789
2024,電力設備及配備製造業,內銷額,百萬元,633520,239391,394129
2024,機械設備製造業,內銷額,百萬元,569243,354400,214843
2024,汽車及其零件製造業,內銷額,百萬元,392030,55390,336640
2024,其他運輸工具及其零件製造業,內銷額,百萬元,131895,51884,80011
2024,家具製造業,內銷額,百萬元,57824,41945,15879
2024,其他製造業,內銷額,百萬元,156740,113952,42787
2024,產業用機械設備維修及安裝業,內銷額,百萬元,238414,164975,73439
